Gender,Perspective,Age_1,Age_2,Pair_ID,Spare
1,1,0,0,302,0
0,1,0,1,303,1
0,1,1,0,303,0
1,1,1,0,304,1
1,1,0,0,304,0
0,1,0,0,305,0
1,1,0,0,305,1
1,1,1,0,306,1
0,1,1,0,306,0
0,1,0,1,307,1
0,1,1,0,307,0
0,1,0,1,308,1
0,1,0,0,308,0
1,1,0,1,309,1
0,1,0,1,309,0
1,1,0,1,310,1
1,1,0,0,310,0
1,1,0,1,311,1
1,1,1,0,311,0
0,1,0,0,312,0
0,1,1,0,312,1
0,1,0,1,313,0
1,1,0,1,313,1
0,1,0,0,314,0
0,1,1,0,314,1
1,1,1,0,315,1
0,1,1,0,315,0
0,1,0,0,316,0
0,1,0,1,316,1
1,1,1,0,317,1
1,1,0,0,317,0
0,1,0,0,318,0
1,1,0,0,318,1
1,1,0,1,319,1
1,1,1,0,319,0
0,1,1,0,320,0
0,1,0,1,320,1
1,1,0,0,321,0
1,1,0,1,321,1
0,1,0,0,322,0
0,1,1,0,322,1
1,1,1,0,323,0
1,1,0,1,323,1
1,1,0,1,324,0
0,1,0,1,324,1
0,1,0,1,325,1
0,1,0,0,325,0
1,1,0,1,326,1
1,1,0,0,326,0
0,1,1,0,327,0
1,1,1,0,327,1
0,1,1,0,328,0
0,1,0,1,328,1
1,1,0,0,329,0
1,1,1,0,329,1
0,1,0,0,330,0
0,1,0,1,330,1
1,1,1,0,331,1
0,1,1,0,331,0
0,1,0,0,332,0
1,1,0,0,332,1
0,1,0,1,333,1
1,1,0,1,333,0
1,1,0,1,334,1
1,1,1,0,334,0
1,1,0,0,335,0
1,1,0,1,335,1
0,1,1,0,336,0
0,1,0,1,336,1
1,1,1,0,337,1
1,1,0,0,337,0
1,1,1,0,338,0
1,1,0,1,338,1
0,1,0,1,339,1
0,1,0,0,339,0
0,1,1,0,340,1
0,1,0,0,340,0
1,1,0,1,341,1
1,1,0,0,341,0
1,1,0,0,342,1
0,1,0,0,342,0
0,1,1,0,343,0
1,1,1,0,343,1
0,1,0,1,344,0
1,1,0,1,344,1
0,1,0,1,345,1
0,1,1,0,345,0
0,1,0,1,346,1
0,1,1,0,346,0
1,1,0,1,347,1
1,1,1,0,347,0
1,1,0,0,348,1
0,1,0,0,348,0
0,1,0,0,349,0
0,1,1,0,349,1
0,1,0,1,350,0
1,1,0,1,350,1
1,1,0,1,351,1
1,1,0,0,351,0
1,1,0,0,352,0
1,1,1,0,352,1
1,1,0,0,353,0
1,1,1,0,353,1
1,1,1,0,354,0
1,1,0,1,354,1
0,1,0,0,355,0
0,1,1,0,355,1
0,1,0,0,356,0
1,1,0,0,356,1
0,1,1,0,357,0
1,1,1,0,357,1
0,1,0,1,358,0
1,1,0,1,358,1
0,1,0,0,359,0
0,1,0,1,359,1
1,1,0,0,360,0
1,1,0,1,360,1
1,1,0,1,361,1
0,1,0,1,361,0
0,1,0,0,362,0
0,1,1,0,362,1
0,1,0,0,363,1
1,1,0,0,363,0
0,1,0,1,364,1
0,1,0,0,364,0
1,1,1,0,365,1
1,1,0,0,365,0
0,1,1,0,366,0
0,1,0,1,366,1
1,1,1,0,367,1
0,1,1,0,367,0
1,1,0,0,368,0
1,1,1,0,368,1
1,1,1,0,369,0
1,1,0,1,369,1
0,1,0,0,370,0
0,1,1,0,370,1
0,1,0,0,371,0
1,1,0,0,371,1
0,1,1,0,372,1
1,1,1,0,372,0
0,1,0,1,373,1
1,1,0,1,373,0
0,1,0,0,374,0
0,1,0,1,374,1
1,1,0,0,375,0
1,1,0,1,375,1
1,1,1,0,376,0
1,1,0,1,376,1
0,1,0,0,377,0
1,1,0,0,377,1
0,1,0,0,378,0
0,1,1,0,378,1
0,1,0,1,379,0
1,1,0,1,379,1
0,1,1,0,380,0
0,1,0,1,380,1
0,1,0,1,381,1
